ID,FA_0,FA_5,FA_10,FA_15,FA_20,FA_25
sub-PDa001,0.353384375572205,0.352411895990372,0.35283899307251,0.357490450143814,0.358652949333191,0.361728459596634
sub-PDa002,0.363275915384293,0.362649112939835,0.363394647836685,0.369296371936798,0.370870739221573,0.374029517173767
sub-PDa003,0.372342139482498,0.372967422008514,0.373939394950867,0.379769891500473,0.381451517343521,0.38554185628891
sub-PDa005,0.357304960489273,0.36000582575798,0.363166391849518,0.369125872850418,0.370489060878754,0.374035805463791
sub-PDa006,0.388188660144806,0.385523200035095,0.386879086494446,0.392743140459061,0.394241243600845,0.398245692253113
sub-PDa007,0.360593020915985,0.359512984752655,0.359605342149734,0.363061964511871,0.36414834856987,0.367386013269424
sub-PDa008,0.364277929067612,0.363283544778824,0.364034712314606,0.369446635246277,0.371104001998901,0.375107914209366
sub-PDa009,0.361781179904938,0.360015451908112,0.360820263624191,0.366359055042267,0.367767989635468,0.371203243732452
sub-PDa010,0.354539543390274,0.354349166154861,0.35660108923912,0.362556099891663,0.363915830850601,0.367056578397751
sub-PDa011,0.381011039018631,0.380146980285645,0.381093978881836,0.386961460113525,0.388493955135345,0.392256766557693
sub-PDa012,0.354044735431671,0.354650616645813,0.355395972728729,0.357551693916321,0.358437120914459,0.360929906368256
sub-PDa013,0.371171712875366,0.369937568902969,0.370680034160614,0.37519907951355,0.376660287380219,0.380465477705002
sub-PDa014,0.368748068809509,0.370351165533066,0.37159338593483,0.374898791313171,0.376059234142303,0.379207104444504
sub-PDa016,0.362421751022339,0.362064510583878,0.363241523504257,0.369012534618378,0.370722651481628,0.374774008989334
sub-PDa017,0.377653837203979,0.378221273422241,0.380106776952744,0.386980980634689,0.388540416955948,0.392222762107849
sub-PDa018,0.354025930166245,0.354712158441544,0.356138199567795,0.362209558486938,0.363765984773636,0.3679139316082
sub-PDa019,0.380124479532242,0.378911405801773,0.380670994520187,0.387417376041412,0.389122247695923,0.393146067857742
sub-PDa020,0.35130986571312,0.352044612169266,0.353396475315094,0.359254062175751,0.360638558864594,0.364315211772919
sub-PDa021,0.368850648403168,0.368297666311264,0.369584530591965,0.375140398740768,0.376623898744583,0.380047500133514
sub-PDa022,0.355438947677612,0.35553827881813,0.356188774108887,0.361058086156845,0.362355142831802,0.36555689573288
sub-PDa023,0.372215032577515,0.371598869562149,0.372175216674805,0.377394527196884,0.378841042518616,0.382582008838654
sub-PDa024,0.376030683517456,0.37634950876236,0.377862691879272,0.384899795055389,0.386622130870819,0.39047983288765
sub-PDa025,0.367498964071274,0.366283029317856,0.367044061422348,0.37255847454071,0.374120950698853,0.378163367509842
sub-PDa026,0.345940202474594,0.344033688306808,0.344965130090714,0.349920034408569,0.351061016321182,0.354101032018661
sub-PDa027,0.363753944635391,0.364361077547073,0.365850806236267,0.372818022966385,0.374680250883102,0.378572583198547
sub-PDa028,0.367008805274963,0.365988105535507,0.367424875497818,0.373906493186951,0.375362485647202,0.379319250583649
sub-PDa029,0.395972371101379,0.38785108923912,0.383637875318527,0.385017365217209,0.386200398206711,0.389021813869476
sub-PDa030,0.381728410720825,0.381170511245728,0.382124751806259,0.387888014316559,0.389505326747894,0.393555074930191
sub-PDa031,0.365487724542618,0.365640759468079,0.366683095693588,0.372059792280197,0.373309254646301,0.376604944467545
sub-PDa032,0.352162063121796,0.352487564086914,0.353214889764786,0.357393562793732,0.358568280935287,0.361690998077393
sub-PDa034,0.366084724664688,0.364808708429337,0.365192592144012,0.369489073753357,0.37062469124794,0.373678475618362
sub-PDa035,0.369642078876495,0.369518667459488,0.370427221059799,0.376783072948456,0.378446817398071,0.38225257396698
sub-PDa036,0.370466262102127,0.370817929506302,0.372205346822739,0.37886968255043,0.380375385284424,0.384155333042145
sub-PDa037,0.379709929227829,0.382354915142059,0.385493516921997,0.393302202224731,0.395114809274673,0.399145513772964
sub-PDa038,0.362361520528793,0.360752493143082,0.361282736063004,0.36532661318779,0.366621255874634,0.369882613420486
sub-PDa039,0.358539283275604,0.358440637588501,0.359488844871521,0.36444941163063,0.36575910449028,0.369014352560043
sub-PDa040,0.366175919771194,0.365225940942764,0.365998119115829,0.371146202087402,0.372522711753845,0.375987082719803
sub-PDa042,0.382128715515137,0.382935166358948,0.383791327476501,0.387914270162582,0.389034658670425,0.391942292451859
sub-PDa043,0.394053488969803,0.394352316856384,0.395393699407578,0.399645745754242,0.400715947151184,0.403597861528397
sub-PDa044,0.398661911487579,0.399494558572769,0.400648236274719,0.404893428087234,0.405999600887299,0.408910870552063
sub-PDa045,0.389488369226456,0.39005047082901,0.39036762714386,0.392894417047501,0.393559843301773,0.395441323518753
sub-PDa046,0.402270406484604,0.402542978525162,0.402847498655319,0.406603187322617,0.407566905021667,0.410359889268875
sub-PDa047,0.389824450016022,0.391984403133392,0.39371320605278,0.399180442094803,0.400566160678864,0.404065132141113
sub-PDa050,0.401399046182632,0.402046740055084,0.402762740850449,0.407168686389923,0.408459514379501,0.41181892156601
sub-PDa051,0.37431138753891,0.374523997306824,0.374978303909302,0.376780718564987,0.377471119165421,0.379645735025406
sub-PDa054,0.380892843008041,0.381761491298676,0.382643103599548,0.386542737483978,0.387847006320953,0.391248911619186
sub-PDa055,0.374315142631531,0.374988615512848,0.375538378953934,0.377835899591446,0.378594517707825,0.380742281675339
sub-PDa056,0.392051696777344,0.393068045377731,0.394322037696838,0.399169743061066,0.400461673736572,0.403841644525528
sub-PDa057,0.380381733179092,0.380374908447266,0.380407929420471,0.382876574993134,0.383642733097076,0.385738968849182
sub-PDa058,0.368174850940704,0.367344588041306,0.367614448070526,0.372362375259399,0.373626500368118,0.376932114362717
sub-PDa060,0.370235741138458,0.371008664369583,0.372024655342102,0.376145601272583,0.37732145190239,0.380207359790802
sub-PDa061,0.364079654216766,0.364542782306671,0.364748924970627,0.366813242435455,0.367427945137024,0.369136929512024
sub-PDa062,0.380728185176849,0.381391316652298,0.382348090410233,0.38642206788063,0.387610077857971,0.390719681978226
sub-PDa063,0.353697210550308,0.353607058525085,0.354712396860123,0.360344797372818,0.36185747385025,0.365510791540146
sub-PDa064,0.37292617559433,0.373663693666458,0.374416291713715,0.37785729765892,0.378838509321213,0.381522297859192
sub-PDa065,0.393743455410004,0.394694954156876,0.39541083574295,0.399793386459351,0.40102082490921,0.404075711965561
sub-PDa066,0.387062877416611,0.387444257736206,0.387608915567398,0.390823066234589,0.391945719718933,0.395230233669281
sub-PDa070,0.371219336986542,0.371123611927032,0.371684044599533,0.377107352018356,0.378662347793579,0.382462114095688
sub-PDa071,0.391837030649185,0.393024384975433,0.393842726945877,0.397986501455307,0.39920300245285,0.40226674079895
sub-PDa073,0.380699872970581,0.381697982549667,0.382502913475037,0.385814547538757,0.386704504489899,0.389182060956955
sub-PDa077,0.393954068422318,0.394834727048874,0.395609617233276,0.399632692337036,0.400764644145966,0.403849333524704
sub-PDa078,0.386454522609711,0.388139605522156,0.389449268579483,0.393297553062439,0.394534111022949,0.397858798503876
sub-PDa079,0.387682765722275,0.388122528791428,0.388603299856186,0.392014771699905,0.39330592751503,0.396755576133728
sub-PDa080,0.389607161283493,0.390514254570007,0.391020327806473,0.394144058227539,0.395030587911606,0.397516369819641
sub-PDa081,0.390666961669922,0.39160344004631,0.392360657453537,0.395349651575089,0.396286070346832,0.398862481117249
