nodeID,dti_fa,tractID
1,0.3905222118,ATR_L_fa
2,0.3619468808,ATR_L_fa
3,0.5055328608,ATR_L_fa
4,0.4668220282,ATR_L_fa
5,0.3760049045,ATR_L_fa
6,0.2324383855,ATR_L_fa
7,0.3871568143,ATR_L_fa
8,0.4500010312,ATR_L_fa
9,0.406701386,ATR_L_fa
10,0.2857164741,ATR_L_fa
11,0.2147715688,ATR_L_fa
12,0.3408706188,ATR_L_fa
13,0.5314353704,ATR_L_fa
14,0.4545796812,ATR_L_fa
15,0.3215357661,ATR_L_fa
16,0.3769973814,ATR_L_fa
17,0.6119174957,ATR_L_fa
18,0.3304887116,ATR_L_fa
19,0.3135299385,ATR_L_fa
20,0.356747061,ATR_L_fa
21,0.4253979921,ATR_L_fa
22,0.3409758806,ATR_L_fa
23,0.4860497713,ATR_L_fa
24,0.2570070326,ATR_L_fa
25,0.3243968487,ATR_L_fa
26,0.4380879104,ATR_L_fa
27,0.3670548201,ATR_L_fa
28,0.4435676336,ATR_L_fa
29,0.3654913008,ATR_L_fa
30,0.3930782676,ATR_L_fa
31,0.3722135723,ATR_L_fa
32,0.387532115,ATR_L_fa
33,0.3281730115,ATR_L_fa
34,0.3734867275,ATR_L_fa
35,0.3580620885,ATR_L_fa
36,0.2902354598,ATR_L_fa
37,0.3067896068,ATR_L_fa
38,0.4648094475,ATR_L_fa
39,0.2873860896,ATR_L_fa
40,0.356410861,ATR_L_fa
41,0.4830769002,ATR_L_fa
42,0.2493516058,ATR_L_fa
43,0.350815624,ATR_L_fa
44,0.5509722829,ATR_L_fa
45,0.3093651831,ATR_L_fa
46,0.367567718,ATR_L_fa
47,0.2271956056,ATR_L_fa
48,0.3328806162,ATR_L_fa
49,0.3159793615,ATR_L_fa
50,0.3412019908,ATR_L_fa
51,0.3483284414,ATR_L_fa
52,0.3030050695,ATR_L_fa
53,0.3555698991,ATR_L_fa
54,0.5089244843,ATR_L_fa
55,0.3643810749,ATR_L_fa
56,0.3125614226,ATR_L_fa
57,0.5011049509,ATR_L_fa
58,0.458166033,ATR_L_fa
59,0.4260378778,ATR_L_fa
60,0.5226606131,ATR_L_fa
61,0.4051043987,ATR_L_fa
62,0.3207421601,ATR_L_fa
63,0.5186138749,ATR_L_fa
64,0.2986565828,ATR_L_fa
65,0.3429861665,ATR_L_fa
66,0.2802342176,ATR_L_fa
67,0.3857690394,ATR_L_fa
68,0.3740521669,ATR_L_fa
69,0.3043335378,ATR_L_fa
70,0.3792464435,ATR_L_fa
71,0.3880584836,ATR_L_fa
72,0.4988623261,ATR_L_fa
73,0.2413577884,ATR_L_fa
74,0.3666929603,ATR_L_fa
75,0.5062405467,ATR_L_fa
76,0.3635974228,ATR_L_fa
77,0.266174823,ATR_L_fa
78,0.5525123477,ATR_L_fa
79,0.3802931309,ATR_L_fa
80,0.3402263522,ATR_L_fa
81,0.335331589,ATR_L_fa
82,0.3682070971,ATR_L_fa
83,0.3776711524,ATR_L_fa
84,0.3145006597,ATR_L_fa
85,0.363712728,ATR_L_fa
86,0.3280671239,ATR_L_fa
87,0.4226125777,ATR_L_fa
88,0.3133396506,ATR_L_fa
89,0.4335844219,ATR_L_fa
90,0.286772877,ATR_L_fa
91,0.3600224555,ATR_L_fa
92,0.3438299894,ATR_L_fa
93,0.5590289831,ATR_L_fa
94,0.3651388288,ATR_L_fa
95,0.3444069624,ATR_L_fa
96,0.5458942056,ATR_L_fa
97,0.3407793343,ATR_L_fa
98,0.4047415555,ATR_L_fa
99,0.5453736782,ATR_L_fa
100,0.3442557752,ATR_L_fa
1,0.2774939537,ATR_R_fa
2,0.3248341382,ATR_R_fa
3,0.4019750059,ATR_R_fa
4,0.6010407209,ATR_R_fa
5,0.1324959844,ATR_R_fa
6,0.3931306005,ATR_R_fa
7,0.3540256619,ATR_R_fa
8,0.3635445535,ATR_R_fa
9,0.3172401786,ATR_R_fa
10,0.2172496617,ATR_R_fa
11,0.3598631918,ATR_R_fa
12,0.3838070035,ATR_R_fa
13,0.3209669292,ATR_R_fa
14,0.3861063123,ATR_R_fa
15,0.5830029845,ATR_R_fa
16,0.4743008614,ATR_R_fa
17,0.372140348,ATR_R_fa
18,0.3032527864,ATR_R_fa
19,0.4167774916,ATR_R_fa
20,0.2036450952,ATR_R_fa
21,0.5039106011,ATR_R_fa
22,0.3314037621,ATR_R_fa
23,0.4109634161,ATR_R_fa
24,0.2658919096,ATR_R_fa
25,0.4834848642,ATR_R_fa
26,0.382547617,ATR_R_fa
27,0.457603246,ATR_R_fa
28,0.4314649403,ATR_R_fa
29,0.4529210627,ATR_R_fa
30,0.1519675553,ATR_R_fa
31,0.4570969045,ATR_R_fa
32,0.3550676405,ATR_R_fa
33,0.2963510156,ATR_R_fa
34,0.4926327169,ATR_R_fa
35,0.5001562834,ATR_R_fa
36,0.549886167,ATR_R_fa
37,0.3258881569,ATR_R_fa
38,0.3093224168,ATR_R_fa
39,0.2460565865,ATR_R_fa
40,0.5564067364,ATR_R_fa
41,0.1555609256,ATR_R_fa
42,0.5525728464,ATR_R_fa
43,0.3905625343,ATR_R_fa
44,0.4399108589,ATR_R_fa
45,0.4786144197,ATR_R_fa
46,0.5855320692,ATR_R_fa
47,0.3207988441,ATR_R_fa
48,0.474378854,ATR_R_fa
49,0.4218761623,ATR_R_fa
50,0.4459125102,ATR_R_fa
51,0.3425008357,ATR_R_fa
52,0.3166026473,ATR_R_fa
53,0.298494488,ATR_R_fa
54,0.594150722,ATR_R_fa
55,0.3503381908,ATR_R_fa
56,0.4697304666,ATR_R_fa
57,0.4130067825,ATR_R_fa
58,0.3052112162,ATR_R_fa
59,0.3602214158,ATR_R_fa
60,0.4637559354,ATR_R_fa
61,0.5286934376,ATR_R_fa
62,0.1202240586,ATR_R_fa
63,0.3522404432,ATR_R_fa
64,0.2272740304,ATR_R_fa
65,0.3612073958,ATR_R_fa
66,0.4013210237,ATR_R_fa
67,0.4357394874,ATR_R_fa
68,0.2717564702,ATR_R_fa
69,0.3710026443,ATR_R_fa
70,0.5093745589,ATR_R_fa
71,0.3254050016,ATR_R_fa
72,0.528098166,ATR_R_fa
73,0.5873491168,ATR_R_fa
74,0.3002303541,ATR_R_fa
75,0.5838830471,ATR_R_fa
76,0.3207643628,ATR_R_fa
77,0.2976700366,ATR_R_fa
78,0.4954898655,ATR_R_fa
79,0.3890466988,ATR_R_fa
80,0.3079110682,ATR_R_fa
81,0.4272029102,ATR_R_fa
82,0.3686246872,ATR_R_fa
83,0.5222233534,ATR_R_fa
84,0.3207524419,ATR_R_fa
85,0.3399476707,ATR_R_fa
86,0.4345121682,ATR_R_fa
87,0.3726247251,ATR_R_fa
88,0.4179796576,ATR_R_fa
89,0.5153489113,ATR_R_fa
90,0.3536956906,ATR_R_fa
91,0.3318739831,ATR_R_fa
92,0.3795102239,ATR_R_fa
93,0.4598652422,ATR_R_fa
94,0.2073413283,ATR_R_fa
95,0.3520908952,ATR_R_fa
96,0.2761751711,ATR_R_fa
97,0.4311525822,ATR_R_fa
98,0.3250753284,ATR_R_fa
99,0.554926753,ATR_R_fa
100,0.3591746986,ATR_R_fa
1,0.09077163041,CGC_L_fa
2,0.2734490335,CGC_L_fa
3,0.5576871037,CGC_L_fa
4,0.3292276561,CGC_L_fa
5,0.2117056698,CGC_L_fa
6,0.1665563136,CGC_L_fa
7,0.232102707,CGC_L_fa
8,0.5513901711,CGC_L_fa
9,0.1331757754,CGC_L_fa
10,0.2312653959,CGC_L_fa
11,0.1989883482,CGC_L_fa
12,0.1514481902,CGC_L_fa
13,0.1895152628,CGC_L_fa
14,0.4686533511,CGC_L_fa
15,0.1861112416,CGC_L_fa
16,0.1103026494,CGC_L_fa
17,0.1780833453,CGC_L_fa
18,0.185495019,CGC_L_fa
19,0.438197732,CGC_L_fa
20,0.276494056,CGC_L_fa
21,0.2500793636,CGC_L_fa
22,0.4783180952,CGC_L_fa
23,0.3004507422,CGC_L_fa
24,0.3286708593,CGC_L_fa
25,0.1981574893,CGC_L_fa
26,0.1203338206,CGC_L_fa
27,0.1458229274,CGC_L_fa
28,0.277213484,CGC_L_fa
29,0.4795816839,CGC_L_fa
30,0.2405891716,CGC_L_fa
31,0.2730496824,CGC_L_fa
32,0.3235238492,CGC_L_fa
33,0.1187789515,CGC_L_fa
34,0.6820980906,CGC_L_fa
35,0.258379668,CGC_L_fa
36,0.1095015481,CGC_L_fa
37,0.07650223374,CGC_L_fa
38,0.1669319868,CGC_L_fa
39,0.2617907226,CGC_L_fa
40,0.3147586882,CGC_L_fa
41,0.1772614419,CGC_L_fa
42,0.5241600275,CGC_L_fa
43,0.3126387894,CGC_L_fa
44,0.3858069181,CGC_L_fa
45,0.1060738117,CGC_L_fa
46,0.2339928597,CGC_L_fa
47,0.1251665503,CGC_L_fa
48,0.6366758943,CGC_L_fa
49,0.3301470876,CGC_L_fa
50,0.2602020204,CGC_L_fa
51,0.4238544405,CGC_L_fa
52,0.124725759,CGC_L_fa
53,0.2191402018,CGC_L_fa
54,0.192688942,CGC_L_fa
55,0.196513176,CGC_L_fa
56,0.4664245844,CGC_L_fa
57,0.6680783033,CGC_L_fa
58,0.504740715,CGC_L_fa
59,0.08513888717,CGC_L_fa
60,0.1023142263,CGC_L_fa
61,0.4077276289,CGC_L_fa
62,0.3545621037,CGC_L_fa
