nodeID,dti_fa,tractID
1,0.1327960938,ATR_L_fa
2,0.2733123302,ATR_L_fa
3,0.2249939293,ATR_L_fa
4,0.297177285,ATR_L_fa
5,0.2100397199,ATR_L_fa
6,0.3039273322,ATR_L_fa
7,0.4559111893,ATR_L_fa
8,0.5036175847,ATR_L_fa
9,0.2796496749,ATR_L_fa
10,0.3165344596,ATR_L_fa
11,0.4116947353,ATR_L_fa
12,0.1958135217,ATR_L_fa
13,0.3317749202,ATR_L_fa
14,0.3797679842,ATR_L_fa
15,0.3959295154,ATR_L_fa
16,0.3877319694,ATR_L_fa
17,0.4544828534,ATR_L_fa
18,0.4319591522,ATR_L_fa
19,0.2608875334,ATR_L_fa
20,0.3740980327,ATR_L_fa
21,0.1354752332,ATR_L_fa
22,0.3732128739,ATR_L_fa
23,0.4524323642,ATR_L_fa
24,0.2998411953,ATR_L_fa
25,0.4303172231,ATR_L_fa
26,0.3438504338,ATR_L_fa
27,0.1827157289,ATR_L_fa
28,0.2215305567,ATR_L_fa
29,0.4300940335,ATR_L_fa
30,0.4451166391,ATR_L_fa
31,0.3082366586,ATR_L_fa
32,0.3493170738,ATR_L_fa
33,0.4908666611,ATR_L_fa
34,0.4005355239,ATR_L_fa
35,0.4923889041,ATR_L_fa
36,0.1570534259,ATR_L_fa
37,0.3193633556,ATR_L_fa
38,0.4694882929,ATR_L_fa
39,0.354069382,ATR_L_fa
40,0.448877573,ATR_L_fa
41,0.2981821597,ATR_L_fa
42,0.4857310057,ATR_L_fa
43,0.4821727872,ATR_L_fa
44,0.3595326841,ATR_L_fa
45,0.3050242364,ATR_L_fa
46,0.4373659194,ATR_L_fa
47,0.4755858183,ATR_L_fa
48,0.3032965064,ATR_L_fa
49,0.3181088269,ATR_L_fa
50,0.3111999631,ATR_L_fa
51,0.3243302703,ATR_L_fa
52,0.4297395051,ATR_L_fa
53,0.3567198515,ATR_L_fa
54,0.2474143803,ATR_L_fa
55,0.3269363344,ATR_L_fa
56,0.4033200741,ATR_L_fa
57,0.1708297133,ATR_L_fa
58,0.1714839637,ATR_L_fa
59,0.2751505971,ATR_L_fa
60,0.2664331794,ATR_L_fa
61,0.2586008608,ATR_L_fa
62,0.5888485312,ATR_L_fa
63,0.3866847456,ATR_L_fa
64,0.3522321582,ATR_L_fa
65,0.1771260351,ATR_L_fa
66,0.2622897923,ATR_L_fa
67,0.3646664321,ATR_L_fa
68,0.3245387375,ATR_L_fa
69,0.374996841,ATR_L_fa
70,0.413338244,ATR_L_fa
71,0.3001358509,ATR_L_fa
72,0.2097405642,ATR_L_fa
73,0.2967686653,ATR_L_fa
74,0.2572084665,ATR_L_fa
75,0.3408343494,ATR_L_fa
76,0.3203396499,ATR_L_fa
77,0.3789652884,ATR_L_fa
78,0.2676651776,ATR_L_fa
79,0.4165274799,ATR_L_fa
80,0.2519426346,ATR_L_fa
81,0.3379330337,ATR_L_fa
82,0.3898851275,ATR_L_fa
83,0.4291210771,ATR_L_fa
84,0.1946008801,ATR_L_fa
85,0.3386247158,ATR_L_fa
86,0.3915336132,ATR_L_fa
87,0.3807112873,ATR_L_fa
88,0.3200298846,ATR_L_fa
89,0.3763866723,ATR_L_fa
90,0.193294391,ATR_L_fa
91,0.3718594611,ATR_L_fa
92,0.2668161094,ATR_L_fa
93,0.4818487763,ATR_L_fa
94,0.3879027665,ATR_L_fa
95,0.4407205284,ATR_L_fa
96,0.4549416602,ATR_L_fa
97,0.4024026692,ATR_L_fa
98,0.4874485731,ATR_L_fa
99,0.4434057176,ATR_L_fa
100,0.4083420634,ATR_L_fa
1,0.2732534111,ATR_R_fa
2,0.3228004277,ATR_R_fa
3,0.4333727658,ATR_R_fa
4,0.5329537392,ATR_R_fa
5,0.2242913395,ATR_R_fa
6,0.3071778119,ATR_R_fa
7,0.4305819869,ATR_R_fa
8,0.5803570151,ATR_R_fa
9,0.196014449,ATR_R_fa
10,0.4882687032,ATR_R_fa
11,0.3885710835,ATR_R_fa
12,0.3600699604,ATR_R_fa
13,0.393517822,ATR_R_fa
14,0.2997573912,ATR_R_fa
15,0.380725503,ATR_R_fa
16,0.4352002442,ATR_R_fa
17,0.3342637122,ATR_R_fa
18,0.2064179331,ATR_R_fa
19,0.1276602894,ATR_R_fa
20,0.4891097248,ATR_R_fa
21,0.4274313152,ATR_R_fa
22,0.4894159138,ATR_R_fa
23,0.384763062,ATR_R_fa
24,0.2746483684,ATR_R_fa
25,0.3191388547,ATR_R_fa
26,0.3325943947,ATR_R_fa
27,0.5041688681,ATR_R_fa
28,0.2980388105,ATR_R_fa
29,0.3272919059,ATR_R_fa
30,0.1524341255,ATR_R_fa
31,0.4986558259,ATR_R_fa
32,0.404540807,ATR_R_fa
33,0.374502629,ATR_R_fa
34,0.3249694705,ATR_R_fa
35,0.3021443486,ATR_R_fa
36,0.4542002976,ATR_R_fa
37,0.456484884,ATR_R_fa
38,0.4409620464,ATR_R_fa
39,0.3192368746,ATR_R_fa
40,0.3924628496,ATR_R_fa
41,0.3951086402,ATR_R_fa
42,0.4562610686,ATR_R_fa
43,0.4419153631,ATR_R_fa
44,0.2949270904,ATR_R_fa
45,0.4167267382,ATR_R_fa
46,0.3616690338,ATR_R_fa
47,0.365298748,ATR_R_fa
48,0.3699685335,ATR_R_fa
49,0.4455852807,ATR_R_fa
50,0.3417758942,ATR_R_fa
51,0.2851082087,ATR_R_fa
52,0.2896463871,ATR_R_fa
53,0.3970579207,ATR_R_fa
54,0.459651053,ATR_R_fa
55,0.3391774297,ATR_R_fa
56,0.4571135044,ATR_R_fa
57,0.2392408997,ATR_R_fa
58,0.2621316612,ATR_R_fa
59,0.4577158093,ATR_R_fa
60,0.3940174878,ATR_R_fa
61,0.3026510179,ATR_R_fa
62,0.3789637089,ATR_R_fa
63,0.1833289713,ATR_R_fa
64,0.2967201173,ATR_R_fa
65,0.2628792226,ATR_R_fa
66,0.2197882533,ATR_R_fa
67,0.4208691418,ATR_R_fa
68,0.3648937345,ATR_R_fa
69,0.1265615076,ATR_R_fa
70,0.4308013022,ATR_R_fa
71,0.4369897842,ATR_R_fa
72,0.3544621766,ATR_R_fa
73,0.4967340529,ATR_R_fa
74,0.3786148131,ATR_R_fa
75,0.4903331995,ATR_R_fa
76,0.3813684881,ATR_R_fa
77,0.2686877847,ATR_R_fa
78,0.4449484944,ATR_R_fa
79,0.2733770013,ATR_R_fa
80,0.3861085474,ATR_R_fa
81,0.2511243522,ATR_R_fa
82,0.3217253387,ATR_R_fa
83,0.378823489,ATR_R_fa
84,0.1474269032,ATR_R_fa
85,0.2611095905,ATR_R_fa
86,0.4019848406,ATR_R_fa
87,0.3598224223,ATR_R_fa
88,0.3607598841,ATR_R_fa
89,0.4916954935,ATR_R_fa
90,0.5291579366,ATR_R_fa
91,0.3970876038,ATR_R_fa
92,0.3095320165,ATR_R_fa
93,0.3477885127,ATR_R_fa
94,0.3136729002,ATR_R_fa
95,0.2737804949,ATR_R_fa
96,0.2780861557,ATR_R_fa
97,0.3609440029,ATR_R_fa
98,0.3153066635,ATR_R_fa
99,0.1013481021,ATR_R_fa
100,0.2714902461,ATR_R_fa
1,0.2095752209,CGC_L_fa
2,0.3176054955,CGC_L_fa
3,0.3031361997,CGC_L_fa
4,0.2465707362,CGC_L_fa
5,0.256172657,CGC_L_fa
6,0.3549349606,CGC_L_fa
7,0.4794411957,CGC_L_fa
8,0.3451915383,CGC_L_fa
9,0.3625113964,CGC_L_fa
10,0.1686790884,CGC_L_fa
11,0.372704953,CGC_L_fa
12,0.1936299801,CGC_L_fa
13,0.207730338,CGC_L_fa
14,0.1935359687,CGC_L_fa
15,0.2762114406,CGC_L_fa
16,0.4286620617,CGC_L_fa
17,0.2774157226,CGC_L_fa
18,0.2093899846,CGC_L_fa
19,0.2999114394,CGC_L_fa
20,0.3994024992,CGC_L_fa
21,0.451718241,CGC_L_fa
22,0.4414812922,CGC_L_fa
23,0.2942047119,CGC_L_fa
24,0.1060463041,CGC_L_fa
25,0.3184173405,CGC_L_fa
26,0.1858430654,CGC_L_fa
27,0.3572923839,CGC_L_fa
28,0.2092059702,CGC_L_fa
29,0.2294241637,CGC_L_fa
30,0.3173554242,CGC_L_fa
31,0.2629058361,CGC_L_fa
32,0.4693720341,CGC_L_fa
33,0.5836089253,CGC_L_fa
34,0.2913746536,CGC_L_fa
35,0.3818043172,CGC_L_fa
36,0.2749949694,CGC_L_fa
37,0.1932680756,CGC_L_fa
38,0.2479208112,CGC_L_fa
39,0.4239094555,CGC_L_fa
40,0.2437423617,CGC_L_fa
41,0.1316674054,CGC_L_fa
42,0.3843985498,CGC_L_fa
43,0.1617103219,CGC_L_fa
44,0.357835263,CGC_L_fa
45,0.289327234,CGC_L_fa
46,0.1987278759,CGC_L_fa
47,0.2756522894,CGC_L_fa
48,0.345672816,CGC_L_fa
49,0.3977308571,CGC_L_fa
50,0.3923955262,CGC_L_fa
51,0.2352154404,CGC_L_fa
52,0.3891534507,CGC_L_fa
53,0.2480194271,CGC_L_fa
54,0.1313587576,CGC_L_fa
55,0.3510264754,CGC_L_fa
56,0.3171002567,CGC_L_fa
57,0.2989107966,CGC_L_fa
58,0.3166114986,CGC_L_fa
59,0.2148598135,CGC_L_fa
60,0.4433020055,CGC_L_fa
61,0.5660086274,CGC_L_fa
62,0.1581763178,CGC_L_fa
63,0.3833689988,CGC_L_fa
64,0.180441305,CGC_L_fa
65,0.2203526646,CGC_L_fa
66,0.288610667,CGC_L_fa
67,0.3083812892,CGC_L_fa
68,0.3108993769,CGC_L_fa
69,0.4521134794,CGC_L_fa
70,0.3152866662,CGC_L_fa
71,0.3548760116,CGC_L_fa
72,0.3495292068,CGC_L_fa
73,0.2695295215,CGC_L_fa
74,0.4407952428,CGC_L_fa
75,0.44242239,CGC_L_fa
76,0.3803407252,CGC_L_fa
77,0.3229467273,CGC_L_fa
78,0.2531805038,CGC_L_fa
79,0.2056389153,CGC_L_fa
80,0.3170745671,CGC_L_fa
81,0.2958951592,CGC_L_fa
82,0.3217347264,CGC_L_fa
83,0.4867528975,CGC_L_fa
84,0.3940235972,CGC_L_fa
85,0.3901516497,CGC_L_fa
86,0.1627608687,CGC_L_fa
87,0.1842334569,CGC_L_fa
88,0.431270957,CGC_L_fa
89,0.149690181,CGC_L_fa
90,0.4948546886,CGC_L_fa
91,0.4307408929,CGC_L_fa
92,0.1722016484,CGC_L_fa
93,0.3453842402,CGC_L_fa
94,0.2184309512,CGC_L_fa
95,0.1909569651,CGC_L_fa
96,0.4844602644,CGC_L_fa
97,0.3070254028,CGC_L_fa
98,0.1827863604,CGC_L_fa
99,0.2527538836,CGC_L_fa
100,0.314871639,CGC_L_fa
1,0.2786949277,CGC_R_fa
2,0.3278695643,CGC_R_fa
3,0.2458723038,CGC_R_fa
4,0.2466060817,CGC_R_fa
5,0.2518217564,CGC_R_fa
6,0.245745793,CGC_R_fa
7,0.3028024137,CGC_R_fa
8,0.2127631307,CGC_R_fa
9,0.3751886785,CGC_R_fa
10,0.1615083069,CGC_R_fa
11,0.4308409393,CGC_R_fa
12,0.4544484317,CGC_R_fa
13,0.07981792092,CGC_R_fa
14,0.2424220145,CGC_R_fa
15,0.3017700613,CGC_R_fa
16,0.2079426199,CGC_R_fa
17,0.3548883796,CGC_R_fa
18,0.1645163298,CGC_R_fa
19,0.2294949442,CGC_R_fa
20,0.1897557378,CGC_R_fa
21,0.1943679154,CGC_R_fa
22,0.226228416,CGC_R_fa
23,0.3295484781,CGC_R_fa
24,0.3555804789,CGC_R_fa
25,0.3575838804,CGC_R_fa
26,0.2614820898,CGC_R_fa
27,0.3141835332,CGC_R_fa
28,0.2724883556,CGC_R_fa
29,0.3527536392,CGC_R_fa
30,0.2073848844,CGC_R_fa
31,0.2845052481,CGC_R_fa
32,0.449682802,CGC_R_fa
33,0.4738230109,CGC_R_fa
34,0.309668988,CGC_R_fa
35,0.3724504113,CGC_R_fa
36,0.5122336745,CGC_R_fa
37,0.2736825347,CGC_R_fa
38,0.4589346945,CGC_R_fa
39,0.2571229041,CGC_R_fa
40,0.4308402836,CGC_R_fa
41,0.1794109941,CGC_R_fa
